discipline_name,tournament_type,hour,day_of_week,month,prize_pool,registered_count,actual_attendance
Rainbow Six Siege,offline,13,6,3,54000,402,329
Fortnite,online,16,2,3,62000,463,4
Fortnite,offline,23,1,2,18200,282,207
League of Legends,offline,16,1,1,120000,1226,1047
League of Legends,online,14,5,6,169000,1060,13
League of Legends,offline,16,0,3,322000,1093,821
StarCraft II,online,20,4,8,3800,21,3
Apex Legends,offline,13,2,3,389000,2284,1595
Rocket League,online,11,2,11,90000,92,2
Fortnite,online,18,2,1,87000,692,16
Rainbow Six Siege,offline,10,3,9,222000,788,673
Rocket League,offline,21,2,9,36700,228,159
Dota 2,online,19,1,1,10000,72,5
Apex Legends,offline,23,2,7,30600,391,314
Dota 2,offline,16,2,4,203000,1120,783
Dota 2,offline,12,5,7,83000,616,496
Rainbow Six Siege,offline,13,0,7,109000,537,494
Overwatch 2,online,13,4,1,233000,556,34
Fortnite,online,19,3,9,97000,504,9
Fortnite,offline,14,4,7,26900,233,192
Fortnite,online,9,0,7,24100,67,5
League of Legends,online,13,5,6,91000,240,4
Rainbow Six Siege,offline,21,4,1,25200,242,207
League of Legends,online,16,4,4,15800,259,21
Apex Legends,online,10,3,4,24400,187,3
Rocket League,offline,21,5,1,56000,1060,844
Rainbow Six Siege,offline,15,3,11,39600,391,299
Dota 2,online,14,6,3,87000,838,3
Fortnite,online,22,1,11,2500000,4051,123
Rainbow Six Siege,offline,9,1,4,83000,1865,1348
Apex Legends,offline,17,3,11,8900,107,93
CS2,offline,9,6,3,108000,1993,1862
CS2,online,11,5,7,8000,19,2
Rainbow Six Siege,offline,8,6,9,2600,68,58
League of Legends,offline,22,6,5,161000,2187,1894
Dota 2,offline,14,6,11,11400,301,221
Fortnite,offline,10,2,8,3300,48,27
Dota 2,online,21,0,9,215000,686,17
Overwatch 2,offline,18,3,10,15100,238,196
Valorant,online,13,1,11,94000,921,24
Rainbow Six Siege,offline,21,0,2,35600,718,552
Rocket League,online,10,6,10,30300,71,7
CS2,offline,14,1,8,32300,177,122
Rainbow Six Siege,online,17,2,7,49300,268,5
Valorant,online,10,4,5,313000,1921,63
Overwatch 2,online,21,0,10,3100,19,2
CS2,offline,16,5,3,11700,247,168
Dota 2,online,14,0,9,143000,994,14
Apex Legends,offline,12,6,8,38800,483,407
Apex Legends,online,18,4,6,1900,21,4
Overwatch 2,online,23,2,8,22800,74,2
Fortnite,offline,8,2,10,73000,372,256
Rainbow Six Siege,offline,12,1,1,9100,66,59
Apex Legends,offline,12,6,2,27500,525,404
Rocket League,offline,14,3,7,69000,590,534
CS2,offline,8,0,9,18600,508,412
Dota 2,offline,17,6,7,15900,196,158
League of Legends,offline,20,2,4,22400,329,243
Apex Legends,offline,13,1,11,20900,201,185
CS2,online,20,4,1,29600,245,4
League of Legends,online,11,5,3,18500,155,11
Apex Legends,online,21,5,8,25800,125,3
Apex Legends,online,19,5,7,75000,460,9
League of Legends,offline,12,6,6,8800,188,175
CS2,offline,10,3,1,71000,493,338
Overwatch 2,offline,11,3,9,36600,157,137
StarCraft II,online,11,1,5,41200,146,11
Overwatch 2,offline,22,0,8,144000,864,757
StarCraft II,online,11,2,7,11100,47,4
Rocket League,online,18,3,7,7600,66,3
Rainbow Six Siege,offline,9,3,5,195000,1817,1514
CS2,online,10,0,7,31300,433,17
StarCraft II,online,8,5,10,38200,102,6
Valorant,online,14,4,2,9900,110,3
StarCraft II,online,19,5,9,21200,157,7
League of Legends,offline,17,6,8,380000,3309,3084
StarCraft II,offline,10,3,9,805000,1848,1703
CS2,online,11,5,1,151000,908,13
League of Legends,offline,23,6,1,343000,1996,1578
Apex Legends,offline,13,2,11,92000,679,602
Fortnite,offline,14,4,3,10400,300,242
CS2,offline,19,2,11,24900,398,288
Fortnite,offline,19,4,5,1000000,5814,5442
League of Legends,online,19,5,7,90000,557,10
CS2,offline,18,3,2,194000,2373,1981
Rainbow Six Siege,offline,21,1,4,39800,297,218
Valorant,online,10,1,5,88000,183,10
CS2,offline,9,3,3,2500,106,94
League of Legends,online,15,0,9,61000,317,3
Rainbow Six Siege,online,8,0,7,95000,707,9
Fortnite,online,14,6,9,41400,284,5
Apex Legends,offline,11,1,10,25800,132,103
Rocket League,offline,9,3,7,42700,126,100
League of Legends,offline,19,5,4,23800,949,725
Rocket League,offline,15,1,2,5600,123,103
Dota 2,offline,23,2,10,32700,250,174
CS2,offline,16,4,7,157000,4165,2876
League of Legends,online,22,1,6,222000,1458,24
Fortnite,online,16,4,1,37200,165,12
Dota 2,offline,8,4,9,16500,322,219
CS2,offline,22,4,6,169000,1595,1162
Fortnite,online,22,4,2,17400,183,6
CS2,offline,11,1,7,42300,277,215
League of Legends,offline,17,6,3,70000,2309,1951
CS2,offline,23,6,2,230000,3280,2985
League of Legends,offline,16,0,2,2500000,12000,9419
Rainbow Six Siege,online,16,1,9,79000,224,5
Dota 2,offline,23,1,6,350000,3513,2456
Rainbow Six Siege,offline,12,6,4,126000,1625,1157
Apex Legends,online,23,6,8,104000,500,50
Rainbow Six Siege,online,9,2,2,125000,551,8
Apex Legends,online,15,4,8,25100,87,3
Dota 2,offline,19,0,4,131000,2980,2161
Fortnite,online,20,0,10,74000,186,10
Rocket League,offline,12,0,10,27000,562,400
League of Legends,offline,18,6,9,3400,275,256
Apex Legends,online,18,4,7,147000,975,27
StarCraft II,offline,21,0,11,8200,98,90
League of Legends,online,14,6,1,445000,1110,51
Valorant,offline,11,0,11,11000,76,76
Rocket League,offline,19,1,1,6700,122,98
Rainbow Six Siege,online,20,1,3,15300,135,2
CS2,offline,15,5,3,1800,162,147
Rocket League,online,16,2,6,2800,38,4
Apex Legends,online,20,3,5,15800,160,8
Rocket League,offline,17,5,6,22000,255,199
Rocket League,online,9,2,3,10700,26,1
Dota 2,online,10,0,11,40700,261,6
Apex Legends,offline,21,4,4,133000,438,316
Fortnite,offline,11,2,4,40600,311,289
CS2,online,11,5,4,75000,216,4
Dota 2,online,21,3,4,127000,822,15
Fortnite,offline,22,1,3,99000,593,461
Apex Legends,offline,23,2,2,4700,56,56
Apex Legends,online,18,1,11,86000,269,10
League of Legends,offline,16,0,11,75000,3357,2737
CS2,offline,23,0,6,79000,2283,1559
Valorant,online,16,1,1,74000,192,5
League of Legends,online,8,0,1,96000,213,4
CS2,offline,21,5,8,60000,1003,760
Overwatch 2,online,19,0,3,22300,123,7
Rocket League,offline,10,4,10,259000,1453,1132
CS2,offline,21,3,8,26500,292,257
League of Legends,offline,9,0,4,145000,1065,805
